fuel_type_code,station_name,access_code,ev_network,facility_type,name,address,city,state_province,postal_code,country,latitude,longitude,full_address,source,state_name,state_abbr,state_fips,county_name,county_fips,county_fips_full,zcta,cbsa_code,cbsa_name,city_name,census_tract,block_group,geoid,lat_r_census,lon_r_census,population_density,median_age,median_age_source,population_density_source,household_size,household_size_source,urban_rural_mismatch,urban_rural,median_household_income,median_household_income_source,education_bachelors_plus_pct,education_bachelors_plus_pct_source,unemployment_rate,unemployment_rate_source,poverty_rate,poverty_rate_source,median_home_value,median_gross_rent,median_home_value_rent,median_home_value_source,median_gross_rent_source,median_home_value_rent_source,highway_proximity,highway_proximity_km,highway_proximity_source
ELEC,Massey Automotive,public,Non-Networked,CAR_DEALER,Massey Automotive,600 W Bypass,Andalusia,AL,36420,US,31.3186,-86.4554,"600 W Bypass, Andalusia, AL, 36420, US",AFDC,Alabama,AL,1,Covington County,39,1039,36420.0,,,Andalusia,1039962000,1,1039960000.0,31.3186,-86.4554,79.42,42.5,tract,tract,2.39,tract,False,Urban,49922,tract,25.36,tract,1.15,tract,22.81,tract,160700.0,767,209.518,tract,tract,tract,46821.52369338657,46.21525685786957,imputed_county_name
ELEC,Alabama Power - Tuscaloosa Business Office,public,Non-Networked,UTILITY,Alabama Power - Tuscaloosa Business Office,915 Queen City Ave,Tuscaloosa,AL,35401,US,33.2073,-87.5599,"915 Queen City Ave, Tuscaloosa, AL, 35401, US",AFDC,Alabama,AL,1,Tuscaloosa County,125,1125,35401.0,46220.0,"Tuscaloosa, AL",Tuscaloosa,1125011402,3,1125010000.0,33.2073,-87.5599,1740.69,21.8,tract,tract,1.85,tract,False,Urban,63947,county,68.67,tract,2.09,tract,55.64,tract,730300.0,935,234.403,tract,tract,county,1200.673622364091,1.200673622364091,coordinate
ELEC,CAPITAL PARK CAPITAL PARK 72,public,ChargePoint Network,,CAPITAL PARK CAPITAL PARK 72,6941 Hwy 72 W,Huntsville,AL,35806,US,34.7515,-86.7072,"6941 Hwy 72 W, Huntsville, AL, 35806, US",AFDC,Alabama,AL,1,Madison County,89,1089,35806.0,290.0,"Huntsville-Decatur, AL",Huntsville,1089001401,1,1089000000.0,34.7515,-86.7072,601.79,35.1,tract,tract,2.1,tract,False,Urban,107250,tract,58.75,tract,4.7,tract,4.55,tract,305200.0,1601,190.631,tract,tract,tract,3201.6109513900064,3.2016109513900064,coordinate
ELEC,Bridge Street Town Centre,public,Non-Networked,SHOPPING_CENTER,Bridge Street Town Centre,325 The Bridge St,Huntsville,AL,35806,US,34.7157,-86.6747,"325 The Bridge St, Huntsville, AL, 35806, US",AFDC,Alabama,AL,1,Madison County,89,1089,35806.0,290.0,"Huntsville-Decatur, AL",Huntsville,1089001403,2,1089000000.0,34.7157,-86.6747,215.75,27.5,tract,tract,1.95,tract,False,Urban,71913,tract,57.71,tract,4.19,tract,23.41,tract,275000.0,1349,203.855,tract,tract,tract,331.47966836172304,0.33147966836172305,coordinate
ELEC,Publix #1512,public,Non-Networked,GROCERY,Publix #1512,230 20th St S,Birmingham,AL,35233,US,33.51,-86.8034,"230 20th St S, Birmingham, AL, 35233, US",AFDC,Alabama,AL,1,Jefferson County,73,1073,35233.0,142.0,"Birmingham-Hoover-Talladega, AL",Birmingham,1073004502,1,1073000000.0,33.51,-86.8034,1140.19,28.2,tract,tract,1.4,tract,False,Urban,49269,tract,80.88,tract,1.78,tract,34.79,tract,313500.0,1466,213.847,tract,tract,tract,1325.0939781298455,1.3250939781298454,coordinate
ELEC,UAB COMM HLTH BLDG,public,ChargePoint Network,,UAB COMM HLTH BLDG,933 19th St S,Birmingham,AL,35205,US,33.5021,-86.7986,"933 19th St S, Birmingham, AL, 35205, US",AFDC,Alabama,AL,1,Jefferson County,73,1073,,142.0,"Birmingham-Hoover-Talladega, AL",Birmingham,1073004502,4,1073000000.0,33.5021,-86.7986,1140.19,28.2,tract,tract,1.4,tract,False,Urban,49269,tract,80.88,tract,1.78,tract,34.79,tract,313500.0,1466,213.847,tract,tract,tract,1445.9308549492212,1.4459308549492211,coordinate
ELEC,UAB EXPRESS LOT 4 1,public,ChargePoint Network,,UAB EXPRESS LOT 4 1,316 10th St S,Birmingham,AL,35233,US,33.5022,-86.8162,"316 10th St S, Birmingham, AL, 35233, US",AFDC,Alabama,AL,1,Jefferson County,73,1073,35233.0,142.0,"Birmingham-Hoover-Talladega, AL",Birmingham,1073004200,1,1073000000.0,33.5022,-86.8162,476.88,39.2,tract,tract,1.52,tract,False,Urban,36002,tract,11.49,tract,7.83,tract,27.32,tract,86600.0,676,128.107,tract,tract,tract,105.82105071862587,0.10582105071862587,coordinate
ELEC,THE AVE STATION AVENUE EV1,public,ChargePoint Network,,THE AVE STATION AVENUE EV1,201 Jefferson st,Huntsville,AL,35801,US,34.7323,-86.5886,"201 Jefferson st, Huntsville, AL, 35801, US",AFDC,Alabama,AL,1,Madison County,89,1089,35801.0,290.0,"Huntsville-Decatur, AL",Huntsville,1089003100,2,1089000000.0,34.7323,-86.5886,1122.92,40.0,tract,tract,1.62,tract,False,Urban,89297,tract,36.15,tract,0.47,tract,14.11,tract,750000.0,1256,239.964,tract,tract,county,601.2575992799801,0.6012575992799801,coordinate
ELEC,Phenix City Parks and Recreation,public,Non-Networked,MUNI_GOV,Phenix City Parks and Recreation,1500 Airport Rd,Phenix City,AL,36867,US,32.4991,-85.0153,"1500 Airport Rd, Phenix City, AL, 36867, US",AFDC,Alabama,AL,1,Russell County,113,1113,36867.0,194.0,"Columbus-Auburn-Opelika, GA-AL",Phenix City,1113030404,2,1113030000.0,32.4991,-85.0153,519.34,37.0,tract,tract,2.08,tract,False,Urban,60799,tract,23.07,tract,4.43,tract,14.59,tract,135400.0,1107,122.313,tract,tract,tract,93.23124539746932,0.09323124539746933,coordinate
ELEC,FAIRFIELD INN - Tesla Supercharger,public,Tesla,,FAIRFIELD INN - Tesla Supercharger,21282 Athens-Limestone Blvd.,Athens,AL,35613,US,34.7854,-86.9429,"21282 Athens-Limestone Blvd., Athens, AL, 35613, US",AFDC,Alabama,AL,1,Limestone County,83,1083,35611.0,290.0,"Huntsville-Decatur, AL",Athens,1083020900,1,1083020000.0,34.7854,-86.9429,258.71,45.0,tract,tract,2.17,tract,True,Urban,78397,tract,31.63,tract,5.17,tract,7.28,tract,309100.0,807,280.947,tract,tract,county,286.263942902918,0.286263942902918,coordinate
