,device_name,assetnum,location,gmtoolno,description,gmassettype,gmstation,gmmaintainer,gmmecenter,status,siteid,manufacturer,zone,sub_zone,station_number,item,item_number,process,process_number,plant_group,plant_group_number,provided_by
1,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F215441,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F215441,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
2,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F211998,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F211998,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
3,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F210567,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F210567,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
4,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F213666,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F213666,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
5,AD004R01B05,9.00001E+11,BS.AD.STA.004,F344574_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F344574,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
6,AD004R01B05,9.00001E+11,BS.AD.STA.004,F344346_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F344346,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
7,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F212261,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F212261,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
8,AD002R02B05,9.00001E+11,BS.AD.STA.002,F347666_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F347666,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
9,AD002R01B05,9.00001E+11,BS.AD.STA.002,F342392_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F342392,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
10,AD004R01B05,9.00001E+11,BS.AD.STA.004,F346582_CTRL,ROBOT CONTROLLER BS.AD.STA.004 AD004R01B05 F346582,Robot,004-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,4,R,1,,,B,5,SYSTEM
11,AD002R01B05,9.00001E+11,BS.AD.STA.002,F346914_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F346914,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
12,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F215500,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F215500,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
13,AD003R01B05,9.00001E+11,BS.AD.STA.003,F348013_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F348013,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
14,AB030R01B05,9E+11,BS.AB.STA.030,AB030_R01_B05 CTRL_F213164,ROBOT CONTROLLER BS.AB.STA.030 AB030_R01_B05 CTRL_F213164,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,1,,,B,5,SYSTEM
15,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F211114,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F211114,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
16,AD002R02B05,9.00001E+11,BS.AD.STA.002,F345135_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R02B05 F345135,Robot,002-R02-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,2,,,B,5,SYSTEM
17,AB010R02B05,9E+11,BS.AB.STA.010,AB010_R02_B05 CTRL_F212452,ROBOT CONTROLLER BS.AB.STA.010 AB010_R02_B05 CTRL_F212452,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,2,,,B,5,SYSTEM
18,AD002R01B05,9.00001E+11,BS.AD.STA.002,F345147_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F345147,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
19,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F215217,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F215217,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
20,AD002R01B05,9.00001E+11,BS.AD.STA.002,F348874_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F348874,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
21,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F216480,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F216480,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
22,AD002R01B05,9.00001E+11,BS.AD.STA.002,F344830_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F344830,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
23,AB010R01B05,9E+11,BS.AB.STA.010,AB010_R01_B05 CTRL_F215989,ROBOT CONTROLLER BS.AB.STA.010 AB010_R01_B05 CTRL_F215989,Robot,010-B05,BODY,BODY,OPERATING,1546,FU17,A,B,10,R,1,,,B,5,SYSTEM
24,AD003R01B05,9.00001E+11,BS.AD.STA.003,F348768_CTRL,ROBOT CONTROLLER BS.AD.STA.003 AD003R01B05 F348768,Robot,003-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,3,R,1,,,B,5,SYSTEM
25,AB040R01B05,9E+11,BS.AB.STA.040,AB040_R01_B05 CTRL_F211853,ROBOT CONTROLLER BS.AB.STA.040 AB040_R01_B05 CTRL_F211853,Robot,040-B05,BODY,BODY,OPERATING,1546,FU17,A,B,40,R,1,,,B,5,SYSTEM
26,AB030R02B05,9E+11,BS.AB.STA.030,AB030_R02_B05 CTRL_F211334,ROBOT CONTROLLER BS.AB.STA.030 AB030_R02_B05 CTRL_F211334,Robot,030-B05,BODY,BODY,OPERATING,1546,FU17,A,B,30,R,2,,,B,5,SYSTEM
27,AD002R01B05,9.00001E+11,BS.AD.STA.002,F347402_CTRL,ROBOT CONTROLLER BS.AD.STA.002 AD002R01B05 F347402,Robot,002-R01-B05,BODY,BODY,OPERATING,1546,FU17,A,D,2,R,1,,,B,5,SYSTEM
